"g_dyad_ID_post","g_edge_weights_post","ind1_ID","ind2_ID","ind1_knowledge","ind2_knowledge","knowledge_comb","knowledge_comb2","dyad_ID","g_edge_weights_pre","HKLK_no_dual_events_mean","edge_diff_abs","knowledge_comb3","knowledge_comb4","edge_diff_resid","ind1_visit_no_pre","ind2_visit_no_pre","ind1_visit_no_post","ind2_visit_no_post","new_edge","HKLK_no_dual_events_binary","knowledge_comb2_HKLK_dual_events_binary","HKLK_no_dual_events_binary_c","HKLK_no_dual_events_mean_gc","HKLK_no_dual_events_mean_gc_z","HKLK_no_dual_events_mean_z","edge_diff_resid_10","g_edge_weights_pre_z"
"J3369 J5580",0.0135135135135135,"J3369","J5580","naive","naive","naive naive","naive naive","J3369 J5580",0.0078125,0,0.0057010135135135,"same","naive",-0.00621722094912889,363,13,242,8,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.0621722094912889,-0.665675567920435
"J3369 J5645",0.0240963855421687,"J3369","J5645","naive","naive","naive naive","naive naive","J3369 J5645",0.028436018957346,0,-0.0043396334151773,"same","naive",-0.00321256391150001,363,144,242,161,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.0321256391150001,-0.168652532222362
"J3369 J6000",0.0210526315789474,"J3369","J6000","naive","naive","naive naive","naive naive","J3369 J6000",0.00699300699300699,0,0.0140596245859404,"same","naive",0.00162302391253605,363,72,242,67,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.0162302391253605,-0.685425199538173
"J3369 J664",0.013953488372093,"J3369","J664","naive","knowledge","naive knowledge","knowledge naive","J3369 J664",0.043859649122807,0,-0.029906160750714,"different","knowledge",-0.0190229509787985,363,512,242,366,"old",0,"knowledge naive_0",-0.5,-2.91891891891892,-0.323867453226871,-0.229061120372005,-0.190229509787985,0.203054134432177
"J3369 J900",0.012987012987013,"J3369","J900","naive","naive","naive naive","naive naive","J3369 J900",0.0078125,0,0.005174512987013,"same","naive",-0.00674372147562939,363,8,242,24,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.0674372147562939,-0.665675567920435
"J3467 J3492",0.0294117647058824,"J3467","J3492","naive","naive","naive naive","naive naive","J3467 J3492",0.0588235294117647,0,-0.0294117647058823,"same","naive",-0.00906322715509424,140,54,80,68,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.0906322715509424,0.563680913131898
"J3467 J3692",0.0149253731343284,"J3467","J3692","naive","naive","naive naive","naive naive","J3467 J3692",0.0140845070422535,0,0.000840866092074899,"same","naive",-0.00711004162510194,140,1,80,14,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.0711004162510194,-0.514521345088344
"J3467 J4109",0.0596026490066225,"J3467","J4109","naive","naive","naive naive","naive naive","J3467 J4109",0.0758620689655172,0,-0.0162594199588947,"same","naive",0.01486676073226,140,187,80,145,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.1486676073226,0.974306600745277
"J3467 J4111",0.075,"J3467","J4111","naive","naive","naive naive","naive naive","J3467 J4111",0.102325581395349,0,-0.027325581395349,"same","naive",0.0205399619805947,140,394,80,153,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.205399619805947,1.61207241124115
"J3467 J4126",0.05625,"J3467","J4126","naive","naive","naive naive","naive naive","J3467 J4126",0.0604026845637584,0,-0.0041526845637584,"same","naive",0.0171947396954689,140,193,80,213,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.171947396954689,0.601738263533905
