"ID1","ID2"
"J1001","J1046"
"J1001","J1057"
"J1001","J1076"
"J1001","J1093"
"J1001","J1096"
"J1001","J1154"
"J1001","J1266"
"J1001","J1317"
"J1001","J1345"
"J1001","J1351"
"J1001","J1458"
"J1001","J1480"
"J1001","J1529"
"J1001","J1556"
"J1001","J1618"
"J1001","J1623"
"J1001","J1627"
"J1001","J1631"
"J1001","J164"
"J1001","J1735"
"J1001","J1902"
"J1001","J1916"
"J1001","J1962"
"J1001","J1964"
"J1001","J1973"
"J1001","J2039"
"J1001","J2124"
"J1001","J2128"
"J1001","J2168"
"J1001","J2196"
"J1001","J2375"
"J1001","J2377"
"J1001","J2392"
"J1001","J2415"
"J1001","J2488"
"J1001","J2563"
"J1001","J2572"
"J1001","J2621"
"J1001","J2661"
"J1001","J2728"
"J1001","J2801"
"J1001","J2941"
"J1001","J295"
"J1001","J2969"
"J1001","J3096"
"J1001","J3305"
"J1001","J3369"
"J1001","J3383"
"J1001","J3492"
"J1001","J3508"
"J1001","J3549"
"J1001","J3610"
"J1001","J3679"
"J1001","J3702"
"J1001","J3714"
"J1001","J3715"
"J1001","J3716"
"J1001","J3718"
"J1001","J3749"
"J1001","J3753"
"J1001","J3759"
"J1001","J3845"
"J1001","J3884"
"J1001","J3899"
"J1001","J3987"
"J1001","J4001"
"J1001","J4044"
"J1001","J4046"
"J1001","J4109"
"J1001","J4112"
"J1001","J4126"
"J1001","J4151"
"J1001","J4161"
"J1001","J4162"
"J1001","J4189"
"J1001","J42"
"J1001","J4214"
"J1001","J4304"
"J1001","J4315"
"J1001","J4345"
"J1001","J4514"
"J1001","J4521"
"J1001","J4552"
"J1001","J4569"
"J1001","J4601"
"J1001","J4651"
"J1001","J4654"
"J1001","J4715"
"J1001","J4728"
"J1001","J4731"
"J1001","J4747"
"J1001","J4782"
"J1001","J4840"
"J1001","J4954"
"J1001","J4961"
"J1001","J4962"
"J1001","J4967"
"J1001","J4968"
"J1001","J4986"
"J1001","J4998"
"J1001","J5006"
"J1001","J5012"
"J1001","J5017"
"J1001","J5021"
"J1001","J5043"
"J1001","J505"
"J1001","J5053"
"J1001","J5074"
"J1001","J5089"
"J1001","J5095"
"J1001","J5121"
"J1001","J5146"
"J1001","J5215"
"J1001","J5222"
"J1001","J5255"
"J1001","J5269"
"J1001","J5271"
"J1001","J5309"
"J1001","J5316"
"J1001","J5379"
"J1001","J5428"
"J1001","J5456"
"J1001","J5475"
"J1001","J5476"
"J1001","J5477"
"J1001","J5489"
"J1001","J5503"
"J1001","J5519"
"J1001","J5559"
"J1001","J5566"
"J1001","J5568"
"J1001","J5582"
"J1001","J5583"
"J1001","J5595"
"J1001","J56"
"J1001","J5607"
"J1001","J5618"
"J1001","J5645"
"J1001","J5657A"
"J1001","J5658"
"J1001","J595"
"J1001","J5999"
"J1001","J6000"
"J1001","J6014"
"J1001","J6017"
"J1001","J6023"
"J1001","J6024"
"J1001","J6027"
"J1001","J640"
"J1001","J664"
"J1001","J910"
"J1001","J971"
"J1001","J990"
"J1046","J1057"
"J1046","J1076"
"J1046","J1093"
"J1046","J1096"
"J1046","J1154"
"J1046","J1266"
"J1046","J1317"
"J1046","J1345"
"J1046","J1351"
"J1046","J1458"
"J1046","J1480"
"J1046","J1529"
"J1046","J1556"
"J1046","J1618"
"J1046","J1623"
"J1046","J1627"
"J1046","J1631"
"J1046","J164"
"J1046","J1735"
"J1046","J1902"
"J1046","J1916"
"J1046","J1962"
"J1046","J1964"
"J1046","J1973"
"J1046","J2039"
"J1046","J2124"
"J1046","J2128"
"J1046","J2168"
"J1046","J2196"
"J1046","J2375"
"J1046","J2377"
"J1046","J2392"
"J1046","J2415"
"J1046","J2488"
"J1046","J2563"
"J1046","J2572"
"J1046","J2621"
"J1046","J2661"
"J1046","J2728"
"J1046","J2801"
"J1046","J2941"
"J1046","J295"
"J1046","J2969"
"J1046","J3096"
"J1046","J3305"
"J1046","J3369"
"J1046","J3383"
"J1046","J3492"
"J1046","J3508"
"J1046","J3549"
"J1046","J3610"
"J1046","J3679"
"J1046","J3702"
"J1046","J3714"
"J1046","J3715"
"J1046","J3716"
"J1046","J3718"
"J1046","J3749"
"J1046","J3753"
"J1046","J3759"
"J1046","J3845"
"J1046","J3884"
"J1046","J3899"
"J1046","J3987"
"J1046","J4001"
"J1046","J4044"
"J1046","J4046"
"J1046","J4109"
"J1046","J4112"
"J1046","J4126"
"J1046","J4151"
"J1046","J4161"
"J1046","J4162"
"J1046","J4189"
"J1046","J42"
"J1046","J4214"
"J1046","J4304"
"J1046","J4315"
"J1046","J4345"
"J1046","J4514"
"J1046","J4521"
"J1046","J4552"
"J1046","J4569"
"J1046","J4601"
"J1046","J4651"
"J1046","J4654"
"J1046","J4715"
"J1046","J4728"
"J1046","J4731"
"J1046","J4747"
"J1046","J4782"
"J1046","J4840"
"J1046","J4954"
"J1046","J4961"
"J1046","J4962"
"J1046","J4967"
"J1046","J4968"
"J1046","J4986"
"J1046","J4998"
"J1046","J5006"
"J1046","J5012"
"J1046","J5017"
"J1046","J5021"
"J1046","J5043"
"J1046","J505"
"J1046","J5053"
"J1046","J5074"
"J1046","J5089"
"J1046","J5095"
"J1046","J5121"
"J1046","J5146"
"J1046","J5215"
"J1046","J5222"
"J1046","J5255"
"J1046","J5269"
"J1046","J5271"
"J1046","J5309"
"J1046","J5316"
"J1046","J5379"
"J1046","J5428"
"J1046","J5456"
"J1046","J5475"
"J1046","J5476"
"J1046","J5477"
"J1046","J5489"
"J1046","J5503"
"J1046","J5519"
"J1046","J5559"
"J1046","J5566"
"J1046","J5568"
"J1046","J5582"
"J1046","J5583"
"J1046","J5595"
"J1046","J56"
"J1046","J5607"
"J1046","J5618"
"J1046","J5645"
"J1046","J5657A"
"J1046","J5658"
"J1046","J595"
"J1046","J5999"
"J1046","J6000"
"J1046","J6014"
"J1046","J6017"
"J1046","J6023"
"J1046","J6024"
"J1046","J6027"
"J1046","J640"
"J1046","J664"
"J1046","J910"
"J1046","J971"
"J1046","J990"
"J1057","J1076"
"J1057","J1093"
"J1057","J1096"
"J1057","J1154"
"J1057","J1266"
"J1057","J1317"
"J1057","J1345"
"J1057","J1351"
"J1057","J1458"
"J1057","J1480"
"J1057","J1529"
"J1057","J1556"
"J1057","J1618"
"J1057","J1623"
"J1057","J1627"
"J1057","J1631"
"J1057","J164"
"J1057","J1735"
"J1057","J1902"
"J1057","J1916"
"J1057","J1962"
"J1057","J1964"
"J1057","J1973"
"J1057","J2039"
"J1057","J2124"
"J1057","J2128"
"J1057","J2168"
"J1057","J2196"
"J1057","J2375"
"J1057","J2377"
"J1057","J2392"
"J1057","J2415"
"J1057","J2488"
"J1057","J2563"
"J1057","J2572"
"J1057","J2621"
"J1057","J2661"
"J1057","J2728"
"J1057","J2801"
"J1057","J2941"
"J1057","J295"
"J1057","J2969"
"J1057","J3096"
"J1057","J3305"
"J1057","J3369"
"J1057","J3383"
"J1057","J3492"
"J1057","J3508"
"J1057","J3549"
"J1057","J3610"
"J1057","J3679"
"J1057","J3702"
"J1057","J3714"
"J1057","J3715"
"J1057","J3716"
"J1057","J3718"
"J1057","J3749"
"J1057","J3753"
"J1057","J3759"
"J1057","J3845"
"J1057","J3884"
"J1057","J3899"
"J1057","J3987"
"J1057","J4001"
"J1057","J4044"
"J1057","J4046"
"J1057","J4109"
"J1057","J4112"
"J1057","J4126"
"J1057","J4151"
"J1057","J4161"
"J1057","J4162"
"J1057","J4189"
"J1057","J42"
"J1057","J4214"
"J1057","J4304"
"J1057","J4315"
"J1057","J4345"
"J1057","J4514"
"J1057","J4521"
"J1057","J4552"
"J1057","J4569"
"J1057","J4601"
"J1057","J4651"
"J1057","J4654"
"J1057","J4715"
"J1057","J4728"
"J1057","J4731"
"J1057","J4747"
"J1057","J4782"
"J1057","J4840"
"J1057","J4954"
"J1057","J4961"
"J1057","J4962"
"J1057","J4967"
"J1057","J4968"
"J1057","J4986"
"J1057","J4998"
"J1057","J5006"
"J1057","J5012"
"J1057","J5017"
"J1057","J5021"
"J1057","J5043"
"J1057","J505"
"J1057","J5053"
"J1057","J5074"
"J1057","J5089"
"J1057","J5095"
"J1057","J5121"
"J1057","J5146"
"J1057","J5215"
"J1057","J5222"
"J1057","J5255"
"J1057","J5269"
"J1057","J5271"
"J1057","J5309"
"J1057","J5316"
"J1057","J5379"
"J1057","J5428"
"J1057","J5456"
"J1057","J5475"
"J1057","J5476"
"J1057","J5477"
"J1057","J5489"
"J1057","J5503"
"J1057","J5519"
"J1057","J5559"
"J1057","J5566"
"J1057","J5568"
