"JID","knowledge","phase","JID_phase","visit_number_passive","visit_number_HK","visit_number_LK","degree","strength","mean_strength","knowledge_phase","obs","visit_number_passive_z","visit_number_HK_z"
"J1096","naive","post_knowledge","J1096 post_knowledge",22,48,149,30,0.96126175085099,0.0320420583616997,"naive_post_knowledge","160",-0.59572717602052,-0.0570023529728073
"J1154","naive","post_knowledge","J1154 post_knowledge",4,14,45,4,0.401315789473684,0.100328947368421,"naive_post_knowledge","161",-0.813512303871345,-0.218640219295915
"J1266","naive","post_knowledge","J1266 post_knowledge",16,0,NA,9,0.262137648738611,0.0291264054154012,"naive_post_knowledge","162",-0.668322218637461,-0.285196987781901
"J1317","naive","post_knowledge","J1317 post_knowledge",50,132,436,28,0.689515069695306,0.0246255382034038,"naive_post_knowledge","163",-0.256950310474792,0.342338257943107
"J1345","naive","post_knowledge","J1345 post_knowledge",23,4,36,15,1.05733488730303,0.0704889924868689,"naive_post_knowledge","164",-0.583628002251029,-0.266180768214477
"J1351","naive","post_knowledge","J1351 post_knowledge",54,8,22,35,1.11586981701987,0.0318819947719962,"naive_post_knowledge","165",-0.208553615396831,-0.247164548647052
"J1458","naive","post_knowledge","J1458 post_knowledge",14,21,68,4,0.110545885020675,0.0276364712551687,"naive_post_knowledge","166",-0.692520566176442,-0.185361835052923
"J1480","knowledgeable","post_knowledge","J1480 post_knowledge",59,282,124,42,0.957974530184808,0.0228089173853526,"knowledgeable_post_knowledge","167",-0.148057746549379,1.05544649172153
"J1529","knowledgeable","post_knowledge","J1529 post_knowledge",211,571,170,61,1.51682654249303,0.0248660088933283,"knowledgeable_post_knowledge","168",1.69101666641314,2.42936835546794
"J1556","knowledgeable","post_knowledge","J1556 post_knowledge",34,3,NA,18,0.559208336832069,0.0310671298240039,"knowledgeable_post_knowledge","169",-0.450537090786636,-0.270934823106333
"J1618","naive","post_knowledge","J1618 post_knowledge",59,26,16,22,0.690873964896234,0.0314033620407379,"naive_post_knowledge","170",-0.148057746549379,-0.161591560593642
"J1623","naive","post_knowledge","J1623 post_knowledge",14,11,51,7,0.146904301660399,0.0209863288086285,"naive_post_knowledge","171",-0.692520566176442,-0.232902383971484
"J1627","knowledgeable","post_knowledge","J1627 post_knowledge",19,621,58,15,0.799684730372162,0.0533123153581441,"knowledgeable_post_knowledge","172",-0.63202469732899,2.66707110006075
"J1631","knowledgeable","post_knowledge","J1631 post_knowledge",30,375,68,23,0.622220979234723,0.0270530860536836,"knowledgeable_post_knowledge","173",-0.498933785864597,1.49757359666414
"J164","naive","post_knowledge","J164 post_knowledge",1,2,1,1,0.0434782608695652,0.0434782608695652,"naive_post_knowledge","174",-0.849809825179815,-0.275688877998189
"J1735","naive","post_knowledge","J1735 post_knowledge",52,2,69,24,0.563700309450378,0.0234875128937658,"naive_post_knowledge","175",-0.232751962935811,-0.275688877998189
"J1902","naive","post_knowledge","J1902 post_knowledge",86,167,205,41,1.30126966725194,0.0317382845671204,"naive_post_knowledge","176",0.178619945226858,0.508730179158071
"J1916","naive","post_knowledge","J1916 post_knowledge",3,405,327,1,0.0185185185185185,0.0185185185185185,"naive_post_knowledge","177",-0.825611477640835,1.64019524341983
"J1962","naive","post_knowledge","J1962 post_knowledge",3,1,38,6,0.42154071773637,0.070256786289395,"naive_post_knowledge","178",-0.825611477640835,-0.280442932890045
"J1964","naive","post_knowledge","J1964 post_knowledge",12,21,9,5,0.214881429717035,0.042976285943407,"naive_post_knowledge","179",-0.716718913715422,-0.185361835052923
"J1973","naive","post_knowledge","J1973 post_knowledge",1,368,550,2,0.195488721804511,0.0977443609022557,"naive_post_knowledge","180",-0.849809825179815,1.46429521242115
"J2039","naive","post_knowledge","J2039 post_knowledge",10,152,214,14,0.618272424379838,0.0441623160271313,"naive_post_knowledge","181",-0.740917261254403,0.437419355780229
"J2124","naive","post_knowledge","J2124 post_knowledge",100,83,116,38,0.799569970864192,0.0210413150227419,"naive_post_knowledge","182",0.348008377999722,0.109389568242157
"J2128","knowledgeable","post_knowledge","J2128 post_knowledge",36,424,233,29,0.612268786512105,0.0211127167762795,"knowledgeable_post_knowledge","183",-0.426338743247656,1.73052228636509
"J2168","naive","post_knowledge","J2168 post_knowledge",134,38,338,49,0.751290203437187,0.0153324531313712,"naive_post_knowledge","184",0.759380286162391,-0.104542901891369
"J2196","naive","post_knowledge","J2196 post_knowledge",105,39,182,54,0.871547202086748,0.0161397630016065,"naive_post_knowledge","185",0.408504246847173,-0.0997888469995124
"J2375","naive","post_knowledge","J2375 post_knowledge",95,50,221,26,0.550202423047938,0.0211616316556899,"naive_post_knowledge","186",0.287512509152271,-0.0474942431890951
"J2377","naive","post_knowledge","J2377 post_knowledge",1,41,104,1,0.142857142857143,0.142857142857143,"naive_post_knowledge","187",-0.849809825179815,-0.0902807372158002
"J2392","naive","post_knowledge","J2392 post_knowledge",236,54,292,41,0.897423066329989,0.0218883674714631,"naive_post_knowledge","188",1.9934960106504,-0.0284780236216706
"J2415","naive","post_knowledge","J2415 post_knowledge",12,7,19,6,0.196626256337775,0.0327710427229626,"naive_post_knowledge","189",-0.716718913715422,-0.251918603538908
"J2488","naive","post_knowledge","J2488 post_knowledge",14,2,NA,9,0.226168490472633,0.025129832274737,"naive_post_knowledge","190",-0.692520566176442,-0.275688877998189
"J2563","naive","post_knowledge","J2563 post_knowledge",3,42,28,0,0,NA,"naive_post_knowledge","191",-0.825611477640835,-0.0855266823239441
"J2572","naive","post_knowledge","J2572 post_knowledge",12,0,3,2,0.0714285714285714,0.0357142857142857,"naive_post_knowledge","192",-0.716718913715422,-0.285196987781901
"J2621","naive","post_knowledge","J2621 post_knowledge",1,24,121,0,0,NA,"naive_post_knowledge","193",-0.849809825179815,-0.171099670377354
"J2661","naive","post_knowledge","J2661 post_knowledge",3,31,39,6,0.150873903707487,0.0251456506179145,"naive_post_knowledge","194",-0.825611477640835,-0.137821286134361
"J2728","naive","post_knowledge","J2728 post_knowledge",90,0,NA,46,0.88687042678788,0.019279791886693,"naive_post_knowledge","195",0.227016640304819,-0.285196987781901
"J2801","naive","post_knowledge","J2801 post_knowledge",147,55,104,58,1.23336990323026,0.0212649983315563,"naive_post_knowledge","196",0.916669545165765,-0.0237239687298145
"J2941","naive","post_knowledge","J2941 post_knowledge",95,821,664,58,1.16281062576315,0.0200484590648819,"naive_post_knowledge","197",0.287512509152271,3.61788207843197
"J295","naive","post_knowledge","J295 post_knowledge",4,25,38,4,0.0650383430556466,0.0162595857639116,"naive_post_knowledge","198",-0.813512303871345,-0.166345615485498
"J2969","naive","post_knowledge","J2969 post_knowledge",19,10,14,7,0.276414505314639,0.0394877864735199,"naive_post_knowledge","199",-0.63202469732899,-0.23765643886334
"J3096","naive","post_knowledge","J3096 post_knowledge",194,8,3,61,1.2875376429775,0.0211071744750409,"naive_post_knowledge","200",1.48533071233181,-0.247164548647052
"J3305","naive","post_knowledge","J3305 post_knowledge",8,578,736,1,0.0303030303030303,0.0303030303030303,"naive_post_knowledge","201",-0.765115608793383,2.46264673971094
"J3369","naive","post_knowledge","J3369 post_knowledge",242,3,6,69,1.37947973568958,0.0199924599375302,"naive_post_knowledge","202",2.06609105326734,-0.270934823106333
"J3383","naive","post_knowledge","J3383 post_knowledge",7,2,2,10,0.434654274425216,0.0434654274425216,"naive_post_knowledge","203",-0.777214782562874,-0.275688877998189
"J3492","naive","post_knowledge","J3492 post_knowledge",68,0,2,36,0.909653787746751,0.0252681607707431,"naive_post_knowledge","204",-0.0391651826239669,-0.285196987781901
"J3508","naive","post_knowledge","J3508 post_knowledge",54,67,321,7,0.194681752902023,0.0278116789860033,"naive_post_knowledge","205",-0.208553615396831,0.033324689972459
"J3549","naive","post_knowledge","J3549 post_knowledge",4,0,NA,2,0.0355322338830585,0.0177661169415292,"naive_post_knowledge","206",-0.813512303871345,-0.285196987781901
"J3610","naive","post_knowledge","J3610 post_knowledge",111,1,NA,42,1.5020228204535,0.0357624481060356,"naive_post_knowledge","207",0.481099289464115,-0.280442932890045
"J3679","naive","post_knowledge","J3679 post_knowledge",141,1,1,77,1.31258049711666,0.0170464999625541,"naive_post_knowledge","208",0.844074502548823,-0.280442932890045
"J3702","naive","post_knowledge","J3702 post_knowledge",157,9,89,43,0.843299472945248,0.0196116156498895,"naive_post_knowledge","209",1.03766128286067,-0.242410493755196
"J3714","naive","post_knowledge","J3714 post_knowledge",121,17,92,18,0.485439166800868,0.0269688426000482,"naive_post_knowledge","210",0.602091027159018,-0.204378054620347
"J3715","naive","post_knowledge","J3715 post_knowledge",86,26,26,34,0.770393295731628,0.0226586263450479,"naive_post_knowledge","211",0.178619945226858,-0.161591560593642
"J3716","naive","post_knowledge","J3716 post_knowledge",10,58,172,6,0.457936089521312,0.0763226815868853,"naive_post_knowledge","212",-0.740917261254403,-0.0094618040542461
"J3718","naive","post_knowledge","J3718 post_knowledge",90,0,3,61,1.32421596942176,0.0217084585151109,"naive_post_knowledge","213",0.227016640304819,-0.285196987781901
"J3749","naive","post_knowledge","J3749 post_knowledge",42,1,1,26,0.646163995155566,0.0248524613521371,"naive_post_knowledge","214",-0.353743700630714,-0.280442932890045
"J3753","naive","post_knowledge","J3753 post_knowledge",31,24,199,25,0.554967408988582,0.0221986963595433,"naive_post_knowledge","215",-0.486834612095107,-0.171099670377354
"J3759","knowledgeable","post_knowledge","J3759 post_knowledge",132,8,28,39,0.678179847398543,0.0173892268563729,"knowledgeable_post_knowledge","216",0.735181938623411,-0.247164548647052
"J3845","naive","post_knowledge","J3845 post_knowledge",21,0,1,15,0.297382122593124,0.0198254748395416,"naive_post_knowledge","217",-0.60782634979001,-0.285196987781901
