"JID","knowledge","phase","feeder","visit_number"
"J2621","naive","post_knowledge","visit_number_LK",121
"J2621","naive","post_knowledge","visit_number_HK",24
"J2661","naive","post_knowledge","visit_number_LK",39
"J2661","naive","post_knowledge","visit_number_HK",31
"J2680","naive","post_knowledge","visit_number_LK",2
"J2680","naive","post_knowledge","visit_number_HK",0
"J2701","naive","post_knowledge","visit_number_LK",211
"J2701","naive","post_knowledge","visit_number_HK",96
"J2728","naive","post_knowledge","visit_number_LK",0
"J2728","naive","post_knowledge","visit_number_HK",0
"J2759","naive","post_knowledge","visit_number_LK",5
"J2759","naive","post_knowledge","visit_number_HK",1
"J2783","naive","post_knowledge","visit_number_LK",0
"J2783","naive","post_knowledge","visit_number_HK",0
"J2801","naive","post_knowledge","visit_number_LK",104
"J2801","naive","post_knowledge","visit_number_HK",55
"J2941","naive","post_knowledge","visit_number_LK",664
"J2941","naive","post_knowledge","visit_number_HK",821
"J295","naive","post_knowledge","visit_number_LK",38
"J295","naive","post_knowledge","visit_number_HK",25
"J2952","naive","post_knowledge","visit_number_LK",138
"J2952","naive","post_knowledge","visit_number_HK",78
"J2961","naive","post_knowledge","visit_number_LK",340
"J2961","naive","post_knowledge","visit_number_HK",286
"J2969","naive","post_knowledge","visit_number_LK",14
"J2969","naive","post_knowledge","visit_number_HK",10
"J2986","naive","post_knowledge","visit_number_LK",49
"J2986","naive","post_knowledge","visit_number_HK",68
"J3029","naive","post_knowledge","visit_number_LK",0
"J3029","naive","post_knowledge","visit_number_HK",1
"J3052","naive","post_knowledge","visit_number_LK",0
"J3052","naive","post_knowledge","visit_number_HK",2
"J3076","naive","post_knowledge","visit_number_LK",0
"J3076","naive","post_knowledge","visit_number_HK",3
"J3096","naive","post_knowledge","visit_number_LK",3
"J3096","naive","post_knowledge","visit_number_HK",8
"J3148","naive","post_knowledge","visit_number_LK",448
"J3148","naive","post_knowledge","visit_number_HK",124
"J3160","naive","post_knowledge","visit_number_LK",0
"J3160","naive","post_knowledge","visit_number_HK",0
"J3228","naive","post_knowledge","visit_number_LK",0
"J3228","naive","post_knowledge","visit_number_HK",2
"J3243","naive","post_knowledge","visit_number_LK",0
"J3243","naive","post_knowledge","visit_number_HK",2
"J3305","naive","post_knowledge","visit_number_LK",736
"J3305","naive","post_knowledge","visit_number_HK",578
"J3369","naive","post_knowledge","visit_number_LK",6
"J3369","naive","post_knowledge","visit_number_HK",3
"J3378","naive","post_knowledge","visit_number_LK",3
"J3378","naive","post_knowledge","visit_number_HK",0
"J338","naive","post_knowledge","visit_number_LK",49
"J338","naive","post_knowledge","visit_number_HK",8
"J3383","naive","post_knowledge","visit_number_LK",2
"J3383","naive","post_knowledge","visit_number_HK",2
"J3462","naive","post_knowledge","visit_number_LK",25
"J3462","naive","post_knowledge","visit_number_HK",9
"J3492","naive","post_knowledge","visit_number_LK",2
"J3492","naive","post_knowledge","visit_number_HK",0
"J3508","naive","post_knowledge","visit_number_LK",321
"J3508","naive","post_knowledge","visit_number_HK",67
"J3526","naive","post_knowledge","visit_number_LK",54
"J3526","naive","post_knowledge","visit_number_HK",17
"J3549","naive","post_knowledge","visit_number_LK",0
"J3549","naive","post_knowledge","visit_number_HK",0
"J3610","naive","post_knowledge","visit_number_LK",0
"J3610","naive","post_knowledge","visit_number_HK",1
"J3631","naive","post_knowledge","visit_number_LK",9
"J3631","naive","post_knowledge","visit_number_HK",1
"J3639","naive","post_knowledge","visit_number_LK",2
"J3639","naive","post_knowledge","visit_number_HK",0
"J3655","naive","post_knowledge","visit_number_LK",1
"J3655","naive","post_knowledge","visit_number_HK",0
"J3679","naive","post_knowledge","visit_number_LK",1
"J3679","naive","post_knowledge","visit_number_HK",1
"J3693","naive","post_knowledge","visit_number_LK",0
"J3693","naive","post_knowledge","visit_number_HK",1
"J3699","naive","post_knowledge","visit_number_LK",2
"J3699","naive","post_knowledge","visit_number_HK",4
"J3702","naive","post_knowledge","visit_number_LK",89
"J3702","naive","post_knowledge","visit_number_HK",9
"J3714","naive","post_knowledge","visit_number_LK",92
"J3714","naive","post_knowledge","visit_number_HK",17
"J3715","naive","post_knowledge","visit_number_LK",26
"J3715","naive","post_knowledge","visit_number_HK",26
"J3716","naive","post_knowledge","visit_number_LK",172
"J3716","naive","post_knowledge","visit_number_HK",58
"J3718","naive","post_knowledge","visit_number_LK",3
"J3718","naive","post_knowledge","visit_number_HK",0
"J3740","naive","post_knowledge","visit_number_LK",0
"J3740","naive","post_knowledge","visit_number_HK",0
"J3745","naive","post_knowledge","visit_number_LK",163
"J3745","naive","post_knowledge","visit_number_HK",7
"J3749","naive","post_knowledge","visit_number_LK",1
"J3749","naive","post_knowledge","visit_number_HK",1
"J3753","naive","post_knowledge","visit_number_LK",199
"J3753","naive","post_knowledge","visit_number_HK",24
"J3759","knowledgeable","post_knowledge","visit_number_LK",28
"J3759","knowledgeable","post_knowledge","visit_number_HK",8
"J3765A","naive","post_knowledge","visit_number_LK",1
"J3765A","naive","post_knowledge","visit_number_HK",0
"J3769","knowledgeable","post_knowledge","visit_number_LK",102
"J3769","knowledgeable","post_knowledge","visit_number_HK",831
"J3775","naive","post_knowledge","visit_number_LK",3
"J3775","naive","post_knowledge","visit_number_HK",0
"J3777","naive","post_knowledge","visit_number_LK",21
"J3777","naive","post_knowledge","visit_number_HK",9
"J3792","naive","post_knowledge","visit_number_LK",1
"J3792","naive","post_knowledge","visit_number_HK",0
"J3811","naive","post_knowledge","visit_number_LK",1
"J3811","naive","post_knowledge","visit_number_HK",4
"J3822","naive","post_knowledge","visit_number_LK",4
"J3822","naive","post_knowledge","visit_number_HK",1
"J3845","naive","post_knowledge","visit_number_LK",1
"J3845","naive","post_knowledge","visit_number_HK",0
"J3880","naive","post_knowledge","visit_number_LK",1
"J3880","naive","post_knowledge","visit_number_HK",0
"J3884","naive","post_knowledge","visit_number_LK",177
"J3884","naive","post_knowledge","visit_number_HK",49
"J3899","naive","post_knowledge","visit_number_LK",29
"J3899","naive","post_knowledge","visit_number_HK",14
"J3987","knowledgeable","post_knowledge","visit_number_LK",154
"J3987","knowledgeable","post_knowledge","visit_number_HK",225
"J4001","naive","post_knowledge","visit_number_LK",5
"J4001","naive","post_knowledge","visit_number_HK",1
"J4011","naive","post_knowledge","visit_number_LK",245
"J4011","naive","post_knowledge","visit_number_HK",25
"J4044","naive","post_knowledge","visit_number_LK",393
"J4044","naive","post_knowledge","visit_number_HK",199
"J4046","naive","post_knowledge","visit_number_LK",17
"J4046","naive","post_knowledge","visit_number_HK",6
"J41","naive","post_knowledge","visit_number_LK",7
"J41","naive","post_knowledge","visit_number_HK",6
"J4104","naive","post_knowledge","visit_number_LK",559
"J4104","naive","post_knowledge","visit_number_HK",148
"J4109","naive","post_knowledge","visit_number_LK",0
"J4109","naive","post_knowledge","visit_number_HK",0
"J4112","naive","post_knowledge","visit_number_LK",97
"J4112","naive","post_knowledge","visit_number_HK",21
"J4126","naive","post_knowledge","visit_number_LK",1
"J4126","naive","post_knowledge","visit_number_HK",0
"J4151","naive","post_knowledge","visit_number_LK",474
"J4151","naive","post_knowledge","visit_number_HK",192
"J4161","naive","post_knowledge","visit_number_LK",43
"J4161","naive","post_knowledge","visit_number_HK",20
"J4162","knowledgeable","post_knowledge","visit_number_LK",12
"J4162","knowledgeable","post_knowledge","visit_number_HK",162
"J4171","naive","post_knowledge","visit_number_LK",2
"J4171","naive","post_knowledge","visit_number_HK",0
"J4189","naive","post_knowledge","visit_number_LK",2
"J4189","naive","post_knowledge","visit_number_HK",3
"J42","naive","post_knowledge","visit_number_LK",71
"J42","naive","post_knowledge","visit_number_HK",190
"J4214","naive","post_knowledge","visit_number_LK",15
"J4214","naive","post_knowledge","visit_number_HK",11
"J4266","naive","post_knowledge","visit_number_LK",0
